File_name,Lang
0111.wav,FR
0112.wav,EN
0113.wav,JP
0114.wav,AR
0115.wav,JP
0116.wav,EN
0117.wav,AR
0118.wav,AR
0119.wav,AR
0120.wav,FR
0121.wav,JP
0122.wav,EN
0123.wav,EN
0124.wav,JP
0125.wav,AR
0126.wav,JP
0127.wav,EN
0128.wav,JP
0129.wav,FR
0130.wav,EN
0131.wav,EN
0132.wav,AR
0133.wav,EN
0134.wav,EN
0135.wav,JP
0136.wav,AR
0137.wav,FR
0138.wav,JP
0139.wav,JP
0140.wav,EN
0141.wav,AR
0142.wav,EN
0143.wav,JP
0144.wav,AR
0145.wav,JP
0146.wav,EN
0147.wav,FR
0148.wav,JP
0149.wav,FR
0150.wav,JP
0151.wav,JP
0152.wav,FR
0153.wav,FR
0154.wav,FR
0155.wav,JP
0156.wav,EN
0157.wav,FR
0158.wav,FR
0159.wav,JP
0160.wav,AR
0161.wav,FR
0162.wav,FR
0163.wav,JP
0164.wav,FR
0165.wav,EN
0166.wav,EN
0167.wav,FR
0168.wav,JP
0169.wav,JP
0170.wav,AR
0171.wav,FR
0172.wav,EN
0173.wav,FR
0174.wav,EN
0175.wav,AR
0176.wav,EN
0177.wav,AR
0178.wav,FR
0179.wav,EN
0180.wav,AR
0181.wav,FR
0182.wav,FR
0183.wav,AR
0184.wav,JP
0185.wav,EN
0186.wav,EN
0187.wav,EN
0188.wav,FR
0189.wav,EN
0190.wav,FR
0191.wav,AR
0192.wav,AR
0193.wav,JP
0194.wav,FR
0195.wav,JP
0196.wav,AR
0197.wav,EN
0198.wav,FR
0199.wav,FR
0200.wav,JP
0201.wav,EN
0202.wav,EN
0203.wav,AR
0204.wav,JP
0205.wav,JP
0206.wav,JP
0207.wav,FR
0208.wav,FR
0209.wav,AR
0210.wav,JP
0211.wav,FR
0212.wav,EN
0213.wav,JP
0214.wav,JP
0215.wav,AR
0216.wav,FR
0217.wav,FR
0218.wav,AR
0219.wav,FR
0220.wav,EN
0221.wav,AR
0222.wav,EN
0223.wav,AR
0224.wav,FR
0225.wav,EN
0226.wav,JP
0227.wav,FR
0228.wav,EN
0229.wav,FR
0230.wav,JP
0231.wav,FR
0232.wav,EN
0233.wav,EN
0234.wav,FR
0235.wav,FR
0236.wav,JP
0237.wav,AR
0238.wav,FR
0239.wav,EN
0240.wav,FR
0241.wav,AR
0242.wav,EN
0243.wav,AR
0244.wav,FR
0245.wav,JP
0246.wav,FR
0247.wav,JP
0248.wav,FR
0249.wav,EN
0250.wav,AR
0251.wav,JP
0252.wav,JP
0253.wav,EN
0254.wav,EN
0255.wav,EN
0256.wav,JP
0257.wav,FR
0258.wav,EN
0259.wav,AR
0260.wav,FR
0261.wav,FR
0262.wav,JP
0263.wav,JP
0264.wav,AR
0265.wav,FR
0266.wav,AR
0267.wav,FR
0268.wav,EN
0269.wav,EN
0270.wav,EN
0271.wav,EN
0272.wav,FR
0273.wav,AR
0274.wav,EN
0275.wav,EN
0276.wav,FR
0277.wav,EN
0278.wav,EN
0279.wav,JP
0280.wav,FR
0281.wav,EN
0282.wav,FR
0283.wav,EN
0284.wav,AR
0285.wav,EN
0286.wav,AR
0287.wav,AR
0288.wav,FR
0289.wav,AR
0290.wav,FR
0291.wav,FR
0292.wav,JP
0293.wav,JP
0294.wav,EN
0295.wav,FR
0296.wav,EN
0297.wav,EN
0298.wav,JP
0299.wav,FR
0300.wav,FR
0301.wav,AR
0302.wav,EN
0303.wav,JP
0304.wav,JP
0305.wav,AR
0306.wav,AR
0307.wav,AR
0308.wav,EN
0309.wav,EN
0310.wav,FR
0311.wav,AR
0312.wav,JP
0313.wav,JP
0314.wav,JP
0315.wav,JP
0316.wav,FR
0317.wav,FR
0318.wav,AR
0319.wav,AR
0320.wav,FR
0321.wav,JP
0322.wav,FR
0323.wav,FR
0324.wav,EN
0325.wav,AR
0326.wav,EN
0327.wav,JP
0328.wav,EN
0329.wav,JP
0330.wav,EN
0331.wav,FR
0332.wav,EN
0333.wav,AR
0334.wav,FR
0335.wav,FR
0336.wav,JP
0337.wav,FR
0338.wav,EN
0339.wav,FR
0340.wav,FR
0341.wav,EN
0342.wav,FR
0343.wav,JP
0344.wav,AR
0345.wav,FR
0346.wav,FR
0347.wav,EN
0348.wav,JP
0349.wav,JP
0350.wav,JP
0351.wav,EN
0352.wav,EN
0353.wav,FR
0354.wav,JP
0355.wav,FR
0356.wav,EN
0357.wav,JP
0358.wav,AR
0359.wav,JP
0360.wav,JP
0361.wav,EN
0362.wav,AR
0363.wav,JP
0364.wav,FR
0365.wav,AR
0366.wav,FR
0367.wav,FR
0368.wav,AR
0369.wav,FR
0370.wav,EN
0371.wav,AR
0372.wav,AR
0373.wav,JP
0374.wav,JP
0375.wav,EN
0376.wav,AR
0377.wav,JP
0378.wav,FR
0379.wav,FR
0380.wav,EN
0381.wav,JP
0382.wav,JP
0383.wav,EN
0384.wav,JP
0385.wav,FR
0386.wav,FR
0387.wav,JP
0388.wav,FR
0389.wav,FR
0390.wav,FR
0391.wav,FR
0392.wav,JP
0393.wav,EN
0394.wav,FR
0395.wav,FR
0396.wav,EN
0397.wav,AR
0398.wav,EN
0399.wav,FR
0400.wav,AR
0401.wav,AR
0402.wav,EN
0403.wav,EN
0404.wav,EN
0405.wav,FR
0406.wav,EN
0407.wav,AR
0408.wav,JP
0409.wav,JP
0410.wav,FR
0411.wav,JP
0412.wav,FR
0413.wav,FR
0414.wav,FR
0415.wav,JP
0416.wav,EN
0417.wav,FR
0418.wav,FR
0419.wav,JP
0420.wav,JP
0421.wav,EN
0422.wav,AR
0423.wav,JP
0424.wav,EN
0425.wav,FR
0426.wav,AR
0427.wav,FR
0428.wav,FR
0429.wav,AR
0430.wav,FR
0431.wav,AR
0432.wav,FR
0433.wav,JP
0434.wav,JP
0435.wav,EN
0436.wav,AR
0437.wav,EN
0438.wav,JP
0439.wav,JP
0440.wav,JP
0441.wav,FR
0442.wav,AR
0443.wav,AR
0444.wav,JP
0445.wav,FR
0446.wav,FR
0447.wav,JP
0448.wav,AR
0449.wav,FR
0450.wav,AR
0451.wav,AR
0452.wav,AR
0453.wav,AR
0454.wav,FR
0455.wav,EN
0456.wav,FR
0457.wav,AR
0458.wav,EN
0459.wav,JP
0460.wav,FR
0461.wav,FR
0462.wav,EN
0463.wav,FR
0464.wav,JP
0465.wav,FR
0466.wav,EN
0467.wav,AR
0468.wav,FR
0469.wav,AR
0470.wav,FR
0471.wav,EN
0472.wav,AR
0473.wav,AR
0474.wav,EN
0475.wav,JP
0476.wav,FR
0477.wav,FR
0478.wav,AR
0479.wav,JP
0480.wav,AR
0481.wav,FR
0482.wav,AR
0483.wav,AR
0484.wav,JP
0485.wav,EN
0486.wav,FR
0487.wav,AR
0488.wav,EN
0489.wav,FR
0490.wav,AR
0491.wav,JP
0492.wav,FR
0493.wav,AR
0494.wav,EN
0495.wav,FR
0496.wav,EN
0497.wav,JP
0498.wav,AR
0499.wav,AR
0500.wav,EN
0501.wav,JP
0502.wav,FR
0503.wav,EN
0504.wav,EN
0505.wav,AR
0506.wav,AR
0507.wav,FR
0508.wav,AR
0509.wav,EN
0510.wav,FR
0511.wav,JP
0512.wav,EN
0513.wav,FR
0514.wav,EN
0515.wav,AR
0516.wav,AR
0517.wav,EN
0518.wav,AR
0519.wav,AR
0520.wav,EN
0521.wav,AR
0522.wav,FR
0523.wav,FR
0524.wav,AR
0525.wav,FR
0526.wav,EN
0527.wav,AR
0528.wav,JP
0529.wav,FR
0530.wav,JP
0531.wav,AR
0532.wav,EN
0533.wav,JP
0534.wav,EN
0535.wav,JP
0536.wav,JP
0537.wav,JP
0538.wav,JP
0539.wav,FR
0540.wav,AR
0541.wav,FR
0542.wav,FR
0543.wav,AR
0544.wav,EN
0545.wav,AR
0546.wav,AR
0547.wav,EN
0548.wav,JP
0549.wav,JP
0550.wav,FR
0551.wav,EN
0552.wav,JP
0553.wav,JP
0554.wav,AR
0555.wav,FR
0556.wav,AR
0557.wav,FR
0558.wav,EN
0559.wav,AR
0560.wav,EN
0561.wav,FR
0562.wav,FR
0563.wav,JP
0564.wav,FR
0565.wav,FR
0566.wav,EN
0567.wav,AR
0568.wav,AR
0569.wav,JP
0570.wav,JP
0571.wav,AR
0572.wav,FR
0573.wav,JP
0574.wav,FR
0575.wav,EN
0576.wav,EN
0577.wav,JP
0578.wav,JP
0579.wav,FR
0580.wav,AR
0581.wav,JP
0582.wav,FR
0583.wav,EN
0584.wav,FR
0585.wav,EN
0586.wav,EN
0587.wav,FR
0588.wav,AR
0589.wav,AR
0590.wav,AR
0591.wav,AR
0592.wav,JP
0593.wav,FR
0594.wav,AR
0595.wav,AR
0596.wav,FR
0597.wav,JP
0598.wav,AR
0599.wav,JP
0600.wav,EN
0601.wav,FR
0602.wav,AR
0603.wav,FR
0604.wav,JP
0605.wav,EN
0606.wav,AR
0607.wav,AR
0608.wav,EN
0609.wav,JP
0610.wav,FR
0611.wav,AR
0612.wav,JP
0613.wav,EN
0614.wav,EN
0615.wav,FR
0616.wav,EN
0617.wav,EN
0618.wav,FR
0619.wav,EN
0620.wav,AR
0621.wav,JP
0622.wav,FR
0623.wav,AR
0624.wav,JP
0625.wav,JP
0626.wav,FR
0627.wav,EN
0628.wav,FR
0629.wav,EN
0630.wav,FR
0631.wav,JP
0632.wav,FR
0633.wav,FR
0634.wav,JP
0635.wav,FR
0636.wav,EN
0637.wav,EN
0638.wav,EN
0639.wav,JP
0640.wav,JP
0641.wav,JP
0642.wav,FR
0643.wav,FR
0644.wav,AR
0645.wav,AR
0646.wav,EN
0647.wav,FR
0648.wav,JP
0649.wav,JP
0650.wav,EN
0651.wav,FR
0652.wav,EN
0653.wav,JP
0654.wav,JP
0655.wav,AR
0656.wav,FR
0657.wav,FR
0658.wav,JP
0659.wav,AR
0660.wav,FR
0661.wav,FR
0662.wav,JP
0663.wav,FR
0664.wav,AR
0665.wav,JP
0666.wav,JP
0667.wav,AR
0668.wav,EN
0669.wav,EN
0670.wav,EN
0671.wav,AR
0672.wav,AR
0673.wav,EN
0674.wav,FR
0675.wav,AR
0676.wav,JP
0677.wav,FR
0678.wav,EN
0679.wav,JP
0680.wav,JP
0681.wav,EN
0682.wav,JP
0683.wav,EN
0684.wav,JP
0685.wav,AR
0686.wav,EN
0687.wav,EN
0688.wav,AR
0689.wav,FR
0690.wav,AR
0691.wav,EN
0692.wav,AR
0693.wav,EN
0694.wav,JP
0695.wav,EN
0696.wav,JP
0697.wav,FR
0698.wav,AR
0699.wav,JP
0700.wav,FR
0701.wav,FR
0702.wav,EN
0703.wav,FR
0704.wav,JP
0705.wav,JP
0706.wav,AR
0707.wav,AR
0708.wav,EN
0709.wav,JP
0710.wav,EN
0711.wav,FR
0712.wav,FR
0713.wav,JP
0714.wav,EN
0715.wav,AR
0716.wav,AR
0717.wav,FR
0718.wav,EN
0719.wav,EN
0720.wav,FR
0721.wav,JP
0722.wav,EN
0723.wav,FR
0724.wav,EN
0725.wav,AR
0726.wav,JP
0727.wav,FR
0728.wav,AR
0729.wav,FR
0730.wav,FR
0731.wav,AR
0732.wav,JP
0733.wav,FR
0734.wav,AR
0735.wav,AR
0736.wav,AR
0737.wav,EN
0738.wav,FR
0739.wav,AR
0740.wav,EN
0741.wav,EN
0742.wav,EN
0743.wav,FR
0744.wav,JP
0745.wav,JP
0746.wav,FR
0747.wav,AR
0748.wav,JP
0749.wav,AR
0750.wav,JP
0751.wav,AR
0752.wav,AR
0753.wav,AR
0754.wav,EN
0755.wav,JP
0756.wav,AR
0757.wav,JP
0758.wav,FR
0759.wav,AR
0760.wav,JP
0761.wav,JP
0762.wav,EN
0763.wav,JP
0764.wav,FR
0765.wav,FR
0766.wav,FR
0767.wav,JP
0768.wav,AR
0769.wav,EN
0770.wav,FR
0771.wav,FR
0772.wav,JP
0773.wav,JP
0774.wav,FR
0775.wav,FR
0776.wav,EN
0777.wav,EN
0778.wav,EN
0779.wav,FR
0780.wav,FR
0781.wav,FR
0782.wav,JP
0783.wav,FR
0784.wav,EN
0785.wav,JP
0786.wav,AR
0787.wav,FR
0788.wav,EN
0789.wav,JP
0790.wav,EN
0791.wav,EN
0792.wav,JP
0793.wav,EN
0794.wav,FR
0795.wav,JP
0796.wav,FR
0797.wav,AR
0798.wav,AR
0799.wav,EN
0800.wav,JP
0801.wav,AR
0802.wav,AR
0803.wav,JP
0804.wav,JP
0805.wav,JP
0806.wav,AR
0807.wav,EN
0808.wav,AR
0809.wav,FR
0810.wav,EN
0811.wav,FR
0812.wav,JP
0813.wav,EN
0814.wav,AR
0815.wav,JP
0816.wav,EN
0817.wav,AR
0818.wav,AR
0819.wav,JP
0820.wav,AR
0821.wav,AR
0822.wav,FR
0823.wav,FR
0824.wav,AR
0825.wav,FR
0826.wav,FR
0827.wav,EN
0828.wav,FR
0829.wav,JP
0830.wav,FR
0831.wav,FR
0832.wav,EN
0833.wav,EN
0834.wav,FR
0835.wav,EN
0836.wav,JP
0837.wav,EN
0838.wav,JP
0839.wav,EN
0840.wav,FR
0841.wav,EN
0842.wav,EN
0843.wav,EN
0844.wav,FR
0845.wav,EN
0846.wav,AR
0847.wav,EN
0848.wav,AR
0849.wav,EN
0850.wav,FR
0851.wav,JP
0852.wav,JP
0853.wav,JP
0854.wav,JP
0855.wav,AR
0856.wav,JP
0857.wav,EN
0858.wav,AR
0859.wav,JP
0860.wav,JP
0861.wav,JP
0862.wav,FR
0863.wav,JP
0864.wav,FR
0865.wav,EN
0866.wav,FR
0867.wav,JP
0868.wav,JP
0869.wav,EN
0870.wav,FR
0871.wav,FR
0872.wav,EN
0873.wav,JP
0874.wav,FR
0875.wav,JP
0876.wav,FR
0877.wav,EN
0878.wav,FR
0879.wav,FR
0880.wav,EN
0881.wav,EN
0882.wav,EN
0883.wav,AR
0884.wav,JP
0885.wav,EN
0886.wav,AR
